ID,Start time,Completion time,Email,Name,To what extent you feel valued in your job at the moment?,Anything you want to add?
3,9/2/25 11:35:41,9/2/25 11:35:50,anonymous,,Extremely unvalued,
4,9/2/25 11:35:36,9/2/25 11:36:01,anonymous,,Somewhat valued,
5,9/2/25 11:36:01,9/2/25 11:44:05,anonymous,,Extremely unvalued,"The current round of redundancies is undermining confidence in the management structures of the University and job satisfaction has deteriorated significantly. Research culture in 2/4 Colleges has fallen down the institution's priorities and hardworking staff feel demoralised. 

To see world-leading REF2021 subjects like History (2nd in the UK) being dismantled in half and other CSSAH/STEM subjects closing down does not inspire future confidence or current trust in research leadership. "
6,9/2/25 11:46:20,9/2/25 11:46:33,anonymous,,Somewhat valued,
7,9/2/25 11:46:43,9/2/25 11:47:15,anonymous,,Extremely valued,
8,9/2/25 11:50:33,9/2/25 11:50:51,anonymous,,Neither unvalued or valued,
9,9/2/25 11:51:57,9/2/25 11:52:47,anonymous,,Somewhat unvalued,
10,9/2/25 11:53:55,9/2/25 11:54:38,anonymous,,Somewhat valued,I do not see how job quality (perceptions of feeling valued) is linked to research culture.  
11,9/2/25 11:59:41,9/2/25 12:00:04,anonymous,,Somewhat valued,
12,9/2/25 11:55:15,9/2/25 12:01:37,anonymous,,Somewhat unvalued,"Currently, academic jobs and research facilities are under threat of redundancy/closure. Everyone is expected to contribute more and more with little prospect of any kind of reward (beyond continued employment). The University continues to have a major issue with how senior management relates to (and fails to listen to) the general workforce. This may not be the greatest time for this question to be asked. "
13,9/2/25 12:05:03,9/2/25 12:05:41,anonymous,,Somewhat valued,
14,9/2/25 12:25:08,9/2/25 12:25:21,anonymous,,Extremely valued,
15,9/2/25 13:36:18,9/2/25 13:53:12,anonymous,,Extremely unvalued,"There is no clear promotion pathway, particularly for early career researchers (ECRs). Within the School and College, staff are under constant pressure to teach 4–5 modules throughout the year. Consequently, there is little to no time available for research, even though expectations for research output remain unreasonably high. These expectations are frequently used as criteria for performance reviews or probation assessments. In some cases, PDD or probation managers have even used the lack of research output as a threat to alter staff members’ original contracts.
Senior management shows little concern for addressing workload distribution through meaningful discussion. Instead, allocations are made merely to fill gaps, with little regard for fairness or staff mental health and well-being. On many occasions, workload allocation models have been recorded inaccurately by the Head or Deputy Head of School—for example, omitting early career researcher (ECR) allowances. Furthermore, no checking mechanism has been put in place to ensure accuracy or accountability."
16,9/2/25 14:00:01,9/2/25 14:00:14,anonymous,,Extremely valued,
17,9/2/25 14:02:08,9/2/25 14:05:44,anonymous,,Somewhat valued,
18,9/2/25 16:45:54,9/2/25 16:51:15,anonymous,,Neither unvalued or valued,"It depends on the viewpoint - I feel valued by some people and not by others. A team/School/College/institution is made up of individuals, and individuals can all affect the research culture in which you work, in different ways. It can also be time dependent - there's a lot going on with the strategic review and, although I'm not directly affected, I have colleagues who are, and so the mood (and how valued people feel) is greatly impacted at the moment. It makes me wonder how valued any of us are - even though I understand the logic and hence the need for the strategic review - it can have either a direct or an indirect effect on how valued someone feels."
19,9/3/25 14:51:36,9/3/25 14:52:04,anonymous,,Somewhat valued,I don't really work in research/I'm not a researcher
22,9/3/25 22:58:51,9/3/25 22:58:58,anonymous,,Somewhat unvalued,
23,9/5/25 13:04:25,9/5/25 13:06:06,anonymous,,Somewhat unvalued,
24,9/7/25 17:15:38,9/7/25 17:15:54,anonymous,,Extremely valued,
25,9/7/25 21:54:17,9/7/25 21:54:22,anonymous,,Somewhat unvalued,
26,9/7/25 21:54:23,9/7/25 21:54:25,anonymous,,Somewhat unvalued,
27,9/7/25 21:54:27,9/7/25 21:54:38,anonymous,,Extremely unvalued,
28,9/7/25 21:54:40,9/7/25 21:54:44,anonymous,,Somewhat valued,
29,9/10/25 10:06:49,9/10/25 10:06:54,anonymous,,Somewhat valued,
30,9/10/25 10:09:03,9/10/25 10:11:14,anonymous,,Somewhat valued,"The work I do is appreciate and valued internally as well as gaining recognition outside the university. But I am working way above my pay grade and trying to get that rectified is taking months and months, with no formal process and no guarantee it will happen at all. This is de-motivating and makes me feel taken for granted."
31,9/10/25 10:11:26,9/10/25 10:18:39,anonymous,,Extremely unvalued,"My school recently put multiple members of staff onto performance improvement plans with no  discussion and no warning. This was communicated via email. Apparently, HR were unaware that a PIP conveys a last resort for underperforming staff prior to termination. It's very cold and wildly inappropriate. These letters showed no recognition that staff aims need to flex in relation to school needs and are not always a choice. No details were given about what support is to be provided. How are we supposed to feel valued in those circumstances?"
