ID,Start time,Completion time,Email,Name,How confident do you feel about your career planning?,Anything you want to add?
1,9/10/25 10:06:54,9/10/25 10:07:07,anonymous,,Neutral,
2,9/10/25 10:06:40,9/10/25 10:07:10,anonymous,,Extremely confident,
3,9/10/25 10:06:58,9/10/25 10:07:16,anonymous,,Extremely not confident,
4,9/10/25 10:07:09,9/10/25 10:07:21,anonymous,,Somewhat not confident,
5,9/10/25 10:07:07,9/10/25 10:07:58,anonymous,,Extremely not confident,"With the Bennett / Physics closure and Strategic Review ongoing: we cannot plan anything, everything is uncertain."
6,9/10/25 10:06:58,9/10/25 10:08:42,anonymous,,Somewhat not confident,I'm a researcher approaching usual retirement age but want and need to continue working for some years yet. My experience in this field is relatively recent and I'm on a low grade for the role (and much lower than the work I'm doing). My contract is open ended subject to funding and I'm not at all confident about getting more or enough funding to carry on working as much and/or as long as I would like.
7,9/10/25 10:08:33,9/10/25 10:08:45,anonymous,,Extremely not confident,
8,9/10/25 10:09:22,9/10/25 10:09:28,anonymous,,Extremely not confident,
9,9/10/25 10:09:36,9/10/25 10:09:41,anonymous,,Somewhat not confident,
10,9/10/25 10:09:09,9/10/25 10:10:36,anonymous,,Extremely not confident,"Too many barriers (mainly freezes on promotion), no clear instructions on who is responsible for what, no guidance from supervisors."
11,9/10/25 10:09:14,9/10/25 10:10:44,anonymous,,Extremely not confident,"There's no such a career plan here at university. There's no career prospect and no promotion route for everyone, especially for ECRs. "
12,9/10/25 10:10:33,9/10/25 10:10:49,anonymous,,Somewhat not confident,
13,9/10/25 10:10:43,9/10/25 10:11:03,anonymous,,Somewhat not confident,
14,9/10/25 10:07:14,9/10/25 10:11:04,anonymous,,Neutral,"There is a lot of uncertainty around the future and the opportunities it may present; career planning, for me, has to be a very flexible process that requires significant awareness of as many options as possible so that I can continue to hold the doors open on the options that are desirable. "
15,9/10/25 10:10:35,9/10/25 10:11:41,anonymous,,Extremely not confident,STRATEGIC REVIEW. It will probably fuck up my entire career. What's the point in planning? 
16,9/10/25 10:10:13,9/10/25 10:11:48,anonymous,,Somewhat confident,"I feel this is very dependent on ones network at the University. It is difficult to widen access to career support but for example, I know that if I was to continue at Leicester after my PhD it will be because funding has been found by my supervisor. "
17,9/10/25 10:08:34,9/10/25 10:11:58,anonymous,,Extremely not confident,"The University does not support career progression, it is unwilling to support training courses etc for staff and blocks attempts at re-grading when staff take on additional reponsbilities. "
18,9/10/25 10:07:04,9/10/25 10:12:02,anonymous,,Somewhat confident,"I am currently a final-year PGR and working part time as a senior researcher with a charity. I think finding this job was stressful, I just spent hours/days being anxious about what comes after a PhD because there's no guarantee despite being at doctoral level. I felt like it was not worth doing the PhD. It was only after I attended interviews that I felt more confidence in myself. Now that I have this job, I feel like I have more options available to me. I could go back to academia and do a Post-Doc- but that is very competitive for funding and I would need a job in the meanwhile to sustain myself. Or I could stay as a researcher even progress to a research director level for a company but then I wouldn't have the freedom that academia provides in terms of being an independent researcher and taking charge of the direction of your researcher. I think despite this job and my PhD the future is still looking a bit uncertain but I am confident in my skillset now and feel like I can take ownership and validate my expertise whereas when I was 'just' a PGR I couldn't because I was still a 'student'. "
19,9/10/25 10:13:06,9/10/25 10:13:13,anonymous,,Extremely confident,
20,9/10/25 10:13:51,9/10/25 10:14:27,anonymous,,Extremely not confident,There is no career ladder. It’s dead man’s boots in most places. 
21,9/10/25 10:15:18,9/10/25 10:15:28,anonymous,,Somewhat confident,
22,9/10/25 10:14:00,9/10/25 10:17:39,anonymous,,Extremely not confident,
23,9/10/25 10:17:21,9/10/25 10:18:45,anonymous,,Somewhat not confident,"I had a strong and clear career plan that was very much on track but has been derailed somewhat by changes at the University (for example, the pause in promotion rounds). There's now a lot of uncertainty about the next steps."
24,9/10/25 10:18:56,9/10/25 10:19:04,anonymous,,Extremely not confident,
25,9/10/25 10:17:29,9/10/25 10:19:11,anonymous,,Not sure,To be honest I'm not planning my career very much at this stage - just plugging away and hoping for the best!
26,9/10/25 10:18:42,9/10/25 10:20:15,anonymous,,Somewhat confident,"I have access to the university's careers services. Although I have not yet used them, I know how to access them to support my career planning."
27,9/10/25 10:16:05,9/10/25 10:20:30,anonymous,,Somewhat not confident,It's hard to plan when you are on a fractional fixed term contract and ineligible for so much of the funding streams that are advertised through the academy. And very dis-spiriting. There seems little possibility of ever finding a PI role. As an older early career post-doc I also feel a degree of unconscious bias around age as well.
28,9/10/25 10:19:41,9/10/25 10:22:20,anonymous,,Extremely not confident,"After the Exec Board meeting yesterday nobody can feel confident about their career prospects when 6 subject areas are identified for redundancy and this will be only stage 1 - it would be naive to think otherwise - SMT are asking for staff goodwill that no longer exists 



"
29,9/10/25 10:22:14,9/10/25 10:22:55,anonymous,,Extremely not confident,
30,9/10/25 10:22:47,9/10/25 10:23:05,anonymous,,Somewhat not confident,
31,9/10/25 10:22:45,9/10/25 10:23:18,anonymous,,Somewhat confident,evidencing impact on policy/sector/business
32,9/10/25 10:23:23,9/10/25 10:23:53,anonymous,,Extremely not confident,My job involves supporting other people's research
33,9/10/25 10:25:31,9/10/25 10:25:44,anonymous,,Somewhat not confident,
34,9/10/25 10:28:27,9/10/25 10:30:12,anonymous,,Somewhat not confident,"I am a senior academic who still, and I know not unusually, feels like this. Lack of developmental support in career planning is lacking at all career stages in my experience."
35,9/10/25 10:32:20,9/10/25 10:32:30,anonymous,,Somewhat confident,
36,9/10/25 10:32:56,9/10/25 10:34:13,anonymous,,Somewhat not confident,Current sector uncertainty is making a significant impact on confidence levels in terms of career development. I fear that the only way will be to become less discipline specific and more managerial (which is just going to make us more like the NHS).
37,9/10/25 10:35:08,9/10/25 10:35:18,anonymous,,Extremely not confident,
38,9/10/25 10:35:23,9/10/25 10:35:37,anonymous,,Extremely not confident,
39,9/10/25 10:36:29,9/10/25 10:36:47,anonymous,,Extremely not confident,
40,9/10/25 10:38:32,9/10/25 10:38:45,anonymous,,Neutral,
41,9/10/25 10:23:21,9/10/25 10:43:40,anonymous,,Extremely not confident,"It is extremely challenging for the DL students who want to pursue academic careers after getting PhD degrees at UoL. Physically and mentally, the feeling of inclusion has never been felt. Most of the teaching credential programs are for the on-campus students. Seminars and events are not always hybrid, rather it’s rare cases. Most important ones are usually held on campus and in person. Networking opportunities are limited if not on-campus particularly cross border situation - never had opportunities to get to know the other students, or faculty members in the department. Only occasion for DL students to communicate is an online tutorial with the supervisors held bimonthly. Two months interval between communication, that’s all. Probably, DL students should have not expected the same level of academic lives like on-campus students. But I wonder if it could have been better than this. "
42,9/10/25 10:44:39,9/10/25 10:45:09,anonymous,,Extremely not confident,who cares?
